Neighborhood,price,space
أحد,250000,43500
أحد,485000,75000
أحد,1755000,180000
أحد,400000,47000
أحد,787500,50000
أحد,370000,37500
أخرى,510000,60000
أخرى,163000,58600
اشبيليا,1034029,33750
اشبيليا,820371,36000
اشبيليا,850000,42000
اشبيليا,1200000,33600
اشبيليا,969973,29000
اشبيليا,850000,28000
اشبيليا,1450000,35100
اشبيليا,1035000,39675
اشبيليا,850000,45900
اشبيليا,850000,46200
اشبيليا,1624600,39000
اشبيليا,830000,25000
اشبيليا,1900000,91000
اشبيليا,700000,43026
اشبيليا,886284,42204
اشبيليا,2472000,39800
اشبيليا,2290000,52500
اشبيليا,1297000,52500
اشبيليا,1231700,45000
اشبيليا,6280080,96000
اشبيليا,6289920,96000
اشبيليا,4800000,63000
اشبيليا,5989920,90000
اشبيليا,5989920,90000
اشبيليا,1650000,45000
اشبيليا,5989920,90000
اشبيليا,1335804,44987
اشبيليا,941467,45000
اشبيليا,5400000,83550
اشبيليا,1079044,30000
اشبيليا,1970000,60000
اشبيليا,1000000,25000
اشبيليا,741739,25000
اشبيليا,850000,35000
اشبيليا,922367,56525
الازدهار,312999,32500
الازدهار,565000,30600
الازدهار,2300000,61600
الازدهار,900000,36400
الازدهار,1900000,70740
الازدهار,1375000,70000
الازدهار,800000,39000
الامانة,1485226,42500
الاندلس,2000000,81000
الاندلس,467550,56450
الاندلس,1805200,100940
الاندلس,1850000,105000
الاندلس,500000,28000
الاندلس,900000,45000
الاندلس,600000,36000
الاندلس,958458,48559
البديعة,180000,33650
البديعة,370000,37903
البديعة,150000,34400
البديعة,626861,27840
البديعة,1130000,69000
البديعة,400000,87500
البديعة,1000000,92500
البديعة,200000,36000
البديعة,200000,75000
البديعة,487414,104000
البديعة,804004,30000
البديعة,1400000,87500
البديعة,1750000,120000
البديعة,370000,40000
البديعة,70000,13524
البديعة,130000,8885
البديعة,55000,9900
البرية,200000,70500
البرية,150000,70500
البرية,225000,75000
البيان,370000,30000
البيان,350000,52902
البيان,504000,36000
البيان,504000,36000
البيان,576712,45705
البيان,555000,37500
البيان,375000,41232
البيان,682500,52500
البيان,600000,87500
البيان,584949,43011
البيان,584854,43004
البيان,30000,75000
التعاون,998591,30000
التعاون,1200000,28152
التعاون,1700000,37250
التعاون,2175000,75000
التعاون,848147,52250
التعاون,577958,40700
التعاون,995654,31250
التعاون,2175000,70000
التعاون,1391855,37500
الجزيرة,300000,48400
الجزيرة,690000,48400
الجنادرية,340000,55000
الجنادرية,745000,39000
الجنادرية,450000,30500
الجنادرية,564061,26250
الجنادرية,261327,30000
الجنادرية,1598639,40722
الجنادرية,320557,23745
الجنادرية,696016,38231
الجنادرية,466200,77700
الجنادرية,751706,26400
الجنادرية,1300000,39000
الجنادرية,1063802,42000
الجنادرية,1280000,59500
الجنادرية,439590,33075
الجنادرية,420420,31850
الجنادرية,1678306,124319
الحائر,230000,60000
الحائر,22400,81900
الحائر,22400,81900
الحائر,25000,58800
الحائر,22400,58800
الحائر,45000,60000
الحائر,50000,66000
الحائر,25000,66000
الحائر,22400,58800
الحائر,22400,56000
الحائر,22400,56000
الحائر,60000,46000
الحائر,25000,156250
الحائر,25000,132000
الحائر,35000,120000
الحائر,70000,220000
الحائر,70000,14472
الحائر,345000,22500
الحائر,75000,43200
الحائر,77000,12668
الحائر,100000,42840
الحائر,110000,23310
الحائر,130000,48000
الحائر,100000,16900
الحائر,339429,39870
الحزم,90000,25761
الحزم,420000,31250
الحزم,300000,31250
الحزم,780000,65000
الحزم,727316,31250
الحزم,800000,62500
الحزم,750000,57500
الحزم,388000,31250
الحزم,300000,31250
الحزم,365000,31250
الحزم,576000,48000
الحزم,192000,24000
الحزم,335209,30000
الحزم,1782000,237600
الحزم,453125,62500
الحزم,453125,50000
الحزم,453125,50000
الحزم,453125,50000
الحزم,453125,50000
الحزم,453125,50000
الحزم,453125,50000
الحزم,453125,50000
الحزم,453125,50000
الحزم,453125,50000
الحزم,453125,50000
الحزم,453125,62500
الحزم,453125,62500
الحزم,453125,50000
الحزم,453125,50000
الحزم,453125,50000
الحزم,453125,50000
الحزم,453125,50000
الحزم,453125,50000
الحزم,453125,50000
الحزم,453125,50000
الحزم,453125,50000
الحزم,453125,62500
الحزم,750000,62500
الحزم,1050828,75000
الحزم,482737,77593
الحزم,1043657,42000
الحزم,490807,31250
الحزم,419731,35000
الحزم,1082229,37500
الحزم,700000,37500
الحزم,493292,48000
الحزم,800000,62100
الحزم,637082,37500
الحمراء,1575000,52500
الحمراء,2000000,90000
الحمراء,9868000,426000
الحمراء,750000,43750
الحمراء,1144030,37500
الحمراء,2900000,61875
الحمراء,3206250,112500
الحمراء,927436,29690
الحمراء,3600000,61875
الخالدية,484166,32125
الخالدية,750000,41400
الخزامى,2400000,75000
الخزامى,5100000,41400
الخليج,1350000,75000
الخليج,700000,78000
الخليج,1614480,39000
الخليج,1591376,117000
الخليج,1350000,75000
الخليج,1530000,85000
الخليج,1075000,32500
الخليج,1400000,75000
الخليج,699500,33333
الخليج,699500,33333
الخليج,1170000,65000
الخليج,2340000,130000
الخير,452826,80000
الخير,460870,80000
الخير,410000,80000
الخير,600000,80000
الخير,565217,80000
الخير,565217,80000
الخير,435000,80000
الخير,260000,84000
الخير,408000,80000
الخير,521739,80000
الخير,521739,80000
الخير,521739,80000
الخير,521739,80000
الخير,550000,84000
الخير,500000,84000
الخير,500000,93750
الخير,500000,84000
الخير,320000,45500
الخير,478261,97719
الخير,300000,44975
الخير,358000,44975
الخير,650000,104636
الخير,295652,45500
الخير,326087,45500
الخير,600000,91000
الخير,530435,87500
الخير,320000,45500
الخير,650000,87500
الخير,326087,43750
الخير,650000,87500
الخير,486957,87500
الخير,608700,115842
الخير,175000,36000
الخير,175000,36000
الخير,417380,72000
الخير,440000,75000
الخير,539750,91000
الخير,539750,91000
الخير,330000,44299
الخير,310000,41277
الخير,620000,97500
الخير,273913,40088
الخير,361000,46755
الخير,330000,45500
الخير,330000,45500
الخير,325000,45500
الخير,350000,45500
الخير,565218,87500
الخير,482609,87500
الخير,620000,87500
الخير,370000,87500
الخير,185000,45500
الخير,185000,45500
الخير,328000,52500
الخير,510000,81250
الخير,202476,46875
الخير,270000,43750
الخير,425000,87500
الخير,500000,87500
الخير,504347,87500
الخير,550000,94045
الخير,550000,94045
الخير,430000,62500
الخير,195000,40500
الخير,185000,62500
الخير,250000,62500
الخير,253000,42000
الخير,350000,87500
الخير,200000,43750
الخير,370000,43316
الخير,430465,80548
الخير,465217,80548
الخير,521739,84000
الخير,245500,100000
الخير,425000,87500
الخير,295000,43750
الخير,256522,43750
الخير,452174,91000
الخير,452174,91000
الخير,452174,91000
الخير,452174,91000
الخير,400000,79450
الخير,495652,79450
الخير,400000,76272
الخير,478261,76272
الخير,452174,76271
الخير,452174,76271
الخير,80000,95250
الخير,500000,91000
الخير,240000,39767
الخير,200000,38238
الخير,375000,91000
الخير,300000,47250
الخير,300000,47250
الخير,382608,91000
الخير,452174,91000
الخير,295000,45500
الخير,200000,40000
الخير,240000,40000
الخير,286957,40000
الخير,180000,50000
الخير,640000,93750
الخير,260870,39000
الخير,340000,40833
الخير,510000,93750
الخير,869565,168000
الخير,869565,168000
الخير,1982609,364000
الخير,345000,75000
الخير,185000,40500
الخير,185000,40500
الخير,347826,72000
الخير,311594,75000
الخير,334783,75000
الخير,311594,75000
الخير,334783,75000
الخير,311594,75000
الخير,339130,75000
الخير,300000,75000
الخير,350000,70500
الخير,360000,78000
الخير,370000,78000
الخير,370000,76763
الخير,434783,76763
الخير,190000,36600
الخير,261000,72000
الخير,261000,72000
الخير,250000,73500
الخير,313043,73500
الخير,180000,84600
الخير,170000,84600
الخير,100000,79900
الخير,100000,79900
الخير,233600,74400
الخير,330000,78098
الخير,374000,72600
الخير,290000,73651
الخير,370000,73651
الخير,330000,73800
الخير,325217,73800
الخير,300000,70800
الخير,217931,60000
الخير,310000,79500
الخير,365000,79500
الخير,355000,75000
الخير,175000,40000
الخير,250000,140000
الخير,408000,87857
الخير,426100,75000
الخير,375000,81000
الخير,1100000,232500
الخير,195728,40625
الخير,195728,40625
الخير,447826,75000
الخير,226087,37500
الخير,226087,37500
الخير,221739,37500
الخير,226087,37500
الخير,378260,75000
الخير,234750,39000
الخير,373913,81250
الخير,215000,60500
الخير,230000,65100
الخير,300000,99175
الخير,10000,75950
الخير,10000,75950
الخير,270000,77119
الخير,300000,75950
الخير,335000,80599
الخير,200000,43750
الخير,250000,78000
الخير,360000,78000
الخير,365000,75000
الخير,365000,76500
الخير,500000,78000
الخير,250000,75000
الخير,360000,75000
الخير,304350,78200
الخير,339130,87500
الخير,200000,78654
الخير,250000,75000
الخير,385000,75000
الخير,250000,40000
الخير,190000,40000
الخير,210000,40000
الخير,308695,75000
الخير,362500,75000
الخير,205000,37500
الخير,304347,75000
الخير,250000,75000
الخير,220000,39000
الخير,250000,76500
الخير,330000,76500
الخير,250000,58551
الخير,205000,58551
الخير,250000,87443
الخير,185000,40500
الخير,185000,40500
الخير,185000,46875
الخير,325000,79500
الخير,320000,75000
الخير,310000,75000
الخير,310000,75000
الخير,320000,84000
الخير,260000,84000
الخير,340000,75000
الخير,413043,87613
الخير,426087,86999
الخير,426087,87000
الخير,317400,75000
الخير,155000,37500
الخير,360000,75000
الخير,320000,75000
الخير,230000,94050
الخير,230000,94053
الخير,230000,81000
الخير,230000,81000
الخير,230000,81000
الخير,230000,81000
الخير,230000,81000
الخير,280000,81000
الخير,280000,81000
الخير,186956,40500
الخير,230000,81000
الخير,230000,81000
الخير,230000,81000
الخير,230000,88682
الخير,230000,86265
الخير,300000,75000
الخير,300000,75000
الخير,300000,75000
الخير,347830,77400
الخير,180000,37500
الخير,365000,75000
الخير,445000,75000
الخير,370000,78000
الخير,339130,74999
الخير,339130,74999
الخير,191304,39000
الخير,365000,84000
الخير,100000,75002
الخير,100000,75001
الخير,100000,75001
الخير,100000,75002
الخير,100000,75001
الخير,100000,75002
الخير,100000,75001
الخير,100000,75001
الخير,100000,90001
الخير,100000,90002
الخير,313100,75000
الخير,366000,75000
الخير,300000,75000
الخير,50000,75000
الخير,150000,37500
الخير,200000,39750
الخير,350000,75000
الخير,317391,75000
الخير,320000,75000
الخير,320000,75000
الخير,355000,75000
الخير,320000,75000
الخير,320000,75000
الخير,355000,75000
الخير,320000,75000
الخير,320000,75000
الخير,320000,75000
الخير,320000,75000
الخير,306000,75000
الخير,320000,75000
الخير,320000,75000
الخير,306000,75000
الخير,320000,75000
الخير,320000,75000
الخير,320000,75000
الخير,320000,75000
الخير,355000,75000
الخير,348000,82500
الخير,200000,37500
الخير,370000,82500
الخير,330000,82500
الخير,275000,75000
الخير,275000,75000
الخير,300000,82500
الخير,230000,74991
الخير,300000,75000
الخير,400000,75000
الخير,300000,75000
الخير,400000,75000
الخير,270000,75000
الخير,360000,80999
الخير,315000,75000
الخير,315000,75000
الخير,373000,83778
الخير,334782,82500
الخير,347826,82500
الخير,217391,60000
الخير,243480,60000
الخير,280000,63000
الخير,212500,60000
الخير,287500,60000
الخير,230000,67950
الخير,290000,63000
الخير,150000,64500
الخير,150000,64500
الخير,150000,64500
الخير,150000,64500
الخير,150000,64500
الخير,150000,64500
الخير,150000,64500
الخير,150000,64500
الخير,150000,64500
الخير,150000,64500
الخير,150000,64500
الخير,300000,64500
الخير,150000,64500
الخير,150000,64500
الخير,150000,75974
الخير,150000,71712
الخير,374000,74999
الخير,365217,75000
الخير,365217,75000
الخير,210000,40200
الخير,350000,80400
الخير,200000,40200
الخير,200000,40200
الخير,455000,87635
الخير,225000,77975
الخير,225000,77992
الخير,225000,78000
الخير,225000,78000
الخير,225000,78000
الخير,225000,78000
الخير,225000,78000
الخير,225000,78000
الخير,225000,78000
الخير,225000,77445
الخير,350000,75000
الخير,313043,75000
الخير,313043,75000
الخير,250750,60722
الخير,320000,75000
الخير,310000,75000
الخير,340000,75000
الخير,300000,75000
الخير,300000,75000
الخير,300000,75000
الخير,300000,75000
الخير,300000,75000
الخير,305000,75000
الخير,300000,75000
الخير,330000,75000
الخير,100000,37500
الخير,170000,75000
الخير,65000,37500
الخير,320000,75000
الخير,276260,75000
الخير,270000,75000
الخير,335000,75000
الخير,190000,37481
الخير,139131,40210
الخير,139131,39788
الخير,190000,40075
الخير,226087,48898
الخير,282609,76225
الخير,335000,75000
الخير,335000,75000
الخير,340000,75000
الخير,270000,75000
الخير,315000,75000
الخير,270000,75000
الخير,278261,75000
الخير,210000,45000
الخير,272000,75000
الخير,234772,82420
الخير,234772,82720
الخير,234772,82720
الخير,234772,75000
الخير,234772,75000
الخير,234772,75000
الخير,234772,75000
الخير,234772,75000
الخير,234772,75000
الخير,234772,75000
الخير,234772,75000
الخير,234772,75000
الخير,234772,75000
الخير,234772,82536
الخير,425000,82536
الخير,234772,83704
الخير,425000,83704
الخير,234772,75000
الخير,370000,75000
الخير,234772,75000
الخير,234772,75000
الخير,234772,75000
الخير,234772,75000
الخير,234772,75000
الخير,234772,75000
الخير,250000,41855
الخير,350000,75000
الخير,238000,75000
الخير,310000,75000
الخير,238000,75000
